Geneid	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3
AT1G12480	0	0	0	0	0	1
AT1G76850	1026	968	338	1291	628	112
AT1G73570	26	24	8	42	20	4
AT1G44130	17	20	10	140	53	14
AT1G67340	227	362	73	519	255	48
AT1G80315	0	0	0	0	0	0
AT1G43666	0	0	0	0	0	0
AT1G08630	56	37	11	21	6	3
AT1G66150	792	779	285	565	306	66
AT1G04640	65	92	24	74	36	10
AT1G56500	130	124	42	123	75	16
AT1G12615	0	0	0	0	0	0
AT1G77120	153	109	36	2175	558	365
AT1G50590	23	30	14	41	12	3
AT1G17147	149	163	53	282	311	50
AT1G44740	35	24	9	23	17	2
AT1G08005	0	0	0	0	0	0
AT1G24380	0	0	0	0	0	0
AT1G60787	21	16	4	7	2	1
AT1G26796	0	0	0	0	0	0
AT1G68500	9	17	2	32	20	4
AT1G15500	3302	3857	1092	2999	1573	302
AT1G77760	426	114	93	26788	12741	2730
AT1G24062	0	0	0	0	0	0
AT1G53510	782	740	273	895	522	83
AT1G51410	0	0	0	0	0	0
AT1G50020	175	260	59	190	115	24
AT1G22370	44	43	14	29	7	7
AT1G53265	0	0	0	0	0	0
AT1G17270	116	132	36	148	63	17
AT1G74350	30	22	14	36	22	5
AT1G75230	182	137	35	231	126	33
AT1G29150	1452	1592	447	2902	1539	370
AT1G17140	116	98	35	191	98	25
AT1G08380	343	107	43	129	52	14
AT1G43560	74	75	32	114	53	10
AT1G07700	166	188	55	166	92	20
AT1G33750	238	171	40	152	95	20
AT1G61270	6	6	0	20	4	3
AT1G14750	20	19	6	17	9	1
AT1G05900	113	98	43	162	68	16
AT1G44120	4	1	0	1	1	0
AT1G52990	0	0	0	1	2	0
AT1G37130	3050	1930	779	27819	13796	2846
AT1G48175	103	87	44	160	65	19
AT1G72140	216	216	63	512	263	36
AT1G66465	1	2	1	3	6	1
AT1G43260	0	0	0	1	0	0
AT1G14420	0	0	0	0	0	0
AT1G01710	277	274	103	669	324	100
AT1G44000	80	72	31	78	37	14
AT1G73960	489	509	199	680	346	58
AT1G11360	557	427	171	576	254	60
AT1G04490	31	20	7	73	31	5
AT1G78476	0	5	0	1	1	0
AT1G15310	196	190	59	357	185	34
AT1G13300	1138	838	344	1200	667	67
AT1G55530	480	691	215	813	527	116
AT1G47350	0	0	0	0	0	0
AT1G74458	194	262	70	137	87	21
AT1G32120	14	8	3	10	2	1
AT1G17260	25	17	12	42	22	3
AT1G32660	0	0	0	0	0	0
AT1G31480	279	340	135	453	199	44
AT1G17500	1048	1117	369	1668	721	181
AT1G50780	0	2	0	5	0	0
AT1G21150	26	17	5	20	9	4
AT1G78110	196	219	94	359	158	42
AT1G80080	6	0	0	3	1	1
AT1G23260	368	408	126	599	304	82
AT1G09790	0	1	0	0	0	0
AT1G60270	48	130	40	137	78	9
AT1G25400	213	191	77	580	346	67
AT1G77980	0	0	0	0	0	0
AT1G43140	28	42	12	19	7	2
AT1G42470	794	646	295	893	516	91
AT1G34170	0	0	0	0	0	0
AT1G56150	0	0	0	1	0	0
AT1G75520	67	42	15	223	94	30
AT1G53890	0	0	0	0	0	0
AT1G43722	0	0	0	0	0	0
AT1G73370	125	106	54	239	132	30
AT1G01230	328	334	112	472	206	64
AT1G70700	78	47	24	45	33	4
AT1G02380	23	29	15	39	22	7
AT1G48870	17	32	9	52	14	6
AT1G69280	34	45	28	69	21	4
AT1G36950	0	0	0	0	0	0
AT1G12430	301	331	126	551	234	56
AT1G56320	144	155	58	358	169	32
AT1G50880	0	0	0	0	0	0
AT1G36310	272	307	89	463	218	56
AT1G44830	4	5	1	6	4	3
AT1G01300	426	346	93	520	223	34
AT1G48050	250	264	98	430	167	40
AT1G36925	0	0	0	0	0	0
AT1G30670	0	0	0	0	0	0
AT1G22180	241	495	113	633	368	102
AT1G17450	370	455	155	487	227	54
AT1G61630	0	1	0	5	0	0
AT1G28590	5	3	1	63	15	7
AT1G79670	861	849	322	949	454	89
AT1G68170	2	0	0	0	0	0
AT1G60080	144	135	32	221	107	28
AT1G51240	0	0	0	0	0	0
AT1G07130	0	0	0	0	0	0
AT1G42525	0	0	0	0	0	0
