Geneid	control_1	control_2	control_3	treatment_1	treatment_2	treatment_3
AT5G34930	258	269	89	363	174	21
AT5G06490	12	4	1	6	1	0
AT5G26610	290	289	112	412	199	37
AT5G10750	156	173	35	268	127	25
AT5G39360	220	263	85	364	168	39
AT5G42050	2363	3019	980	10125	5468	1328
AT5G27580	0	0	0	0	0	0
AT5G14200	629	409	174	6629	2225	548
AT5G08335	87	104	29	113	71	15
AT5G60780	0	0	0	0	0	0
AT5G67070	89	88	28	162	68	26
AT5G12470	1181	983	318	1478	752	150
AT5G19320	202	178	64	325	157	44
AT5G07860	388	392	119	636	346	94
AT5G18705	0	0	0	0	0	0
AT5G55640	64	115	26	81	51	13
AT5G40270	136	110	44	227	94	27
AT5G47880	659	647	215	1450	625	143
AT5G26570	525	497	183	637	314	80
AT5G13181	0	0	0	0	0	0
AT5G67020	9	10	3	7	3	0
AT5G04440	334	257	110	272	154	32
AT5G63000	119	105	38	198	84	20
AT5G48490	0	0	0	0	0	0
AT5G59845	25	33	15	31	21	1
AT5G23870	115	73	23	63	28	7
AT5G36820	0	0	0	0	0	0
AT5G04640	0	0	0	0	0	0
AT5G03750	0	1	0	0	0	0
AT5G46850	124	128	37	127	78	13
AT5G67385	86	63	28	86	29	8
AT5G66220	0	0	0	0	0	0
AT5G10625	325	250	98	1284	673	195
AT5G17200	1	0	0	0	0	0
AT5G58970	105	94	27	157	62	30
AT5G18020	3	0	0	1	0	0
AT5G05200	452	498	154	580	303	35
AT5G60040	241	243	98	408	191	46
AT5G22090	1202	1403	382	3264	1425	305
AT5G46871	0	0	0	0	0	0
AT5G33320	1074	933	299	2252	1202	295
AT5G47790	219	175	67	311	135	30
AT5G09980	15	26	3	25	11	1
AT5G37200	0	0	0	0	0	0
AT5G09470	0	0	0	1	1	0
AT5G07120	341	289	115	472	180	36
AT5G35525	6	3	0	11	11	3
AT5G20200	486	427	142	611	326	52
AT5G22020	494	1105	244	798	377	67
AT5G57540	79	179	22	171	56	8
AT5G61060	432	511	150	559	313	78
AT5G25050	145	158	62	182	93	17
AT5G62790	455	370	138	623	279	84
AT5G03510	86	72	18	75	36	10
AT5G03980	0	1	0	1	0	0
AT5G60080	0	0	0	0	0	0
AT5G56130	108	135	40	225	87	30
AT5G09420	166	194	62	317	178	46
AT5G51780	881	724	330	768	332	42
AT5G22680	0	1	0	0	1	0
AT5G08139	256	230	107	403	183	40
AT5G14280	7	6	3	13	3	6
AT5G52040	1017	822	340	1441	672	136
AT5G09880	1143	881	490	1442	727	106
AT5G27260	0	0	0	0	0	0
AT5G14490	0	0	0	2	3	0
AT5G52290	5	3	0	5	4	0
AT5G45370	138	184	54	228	105	15
AT5G35475	0	0	0	0	0	0
AT5G57630	1037	1325	519	990	533	72
AT5G24610	497	453	202	568	325	63
AT5G54350	0	0	0	0	0	0
AT5G66550	25	36	10	57	29	8
AT5G13690	208	219	72	321	122	42
AT5G66850	304	224	78	335	171	33
AT5G62920	433	522	171	372	201	19
AT5G57030	67	87	13	67	31	7
AT5G56340	398	525	167	703	356	87
AT5G09300	110	125	19	118	65	17
AT5G27660	58	54	12	129	74	15
AT5G64020	295	303	103	442	203	44
AT5G12200	1157	1196	470	1824	709	148
AT5G27450	551	547	176	450	164	42
AT5G35170	166	101	59	109	59	16
AT5G47090	217	227	97	320	143	22
AT5G40860	44	70	14	43	24	2
AT5G65840	137	162	63	256	138	29
AT5G55320	0	0	0	1	0	0
AT5G27893	0	0	0	0	0	0
AT5G08590	508	445	159	537	323	86
AT5G08640	85	808	62	624	190	19
AT5G60730	32	50	8	61	32	10
AT5G26310	214	185	64	242	103	12
AT5G54910	205	245	97	377	173	46
AT5G39100	6	11	1	80	60	25
AT5G02490	324	428	137	2463	1094	324
AT5G46874	0	0	0	1	1	0
AT5G18940	308	384	130	403	206	52
AT5G12235	5	4	1	7	1	0
AT5G25040	0	2	0	3	0	0
AT5G46310	0	0	0	0	0	0
AT5G57567	2	1	0	3	1	0
AT5G52260	23	30	6	10	1	1
AT5G36970	3	0	0	240	223	64
AT5G04000	33	60	22	38	33	3
AT5G37230	0	0	0	1	1	0
AT5G43560	1081	1062	489	1473	739	157
AT5G27140	0	0	0	0	0	0
AT5G16350	4	1	3	3	1	0
AT5G04045	0	0	0	0	0	0
AT5G51270	74	125	33	68	32	3
AT5G42580	181	212	84	365	150	15
AT5G38770	4	6	0	5	2	1
AT5G19430	154	156	50	269	116	16
AT5G38570	0	0	0	0	0	0
AT5G44790	6538	6000	2370	5928	2933	689
AT5G01290	281	300	115	493	241	51
AT5G51210	3	1	0	0	0	1
AT5G25510	348	293	103	474	203	57
AT5G06300	769	963	317	1115	560	106
AT5G03860	199	86	29	109	57	17
AT5G22690	132	119	55	406	218	43
AT5G59390	1	3	2	9	4	0
AT5G65360	553	491	109	767	334	117
AT5G55880	0	0	0	0	0	0
AT5G66816	1	0	0	11	2	0
AT5G24810	483	536	183	1385	646	136
AT5G61090	0	0	0	1	0	1
AT5G24960	53	38	12	30	22	4
AT5G64970	90	80	30	167	60	14
AT5G62090	428	426	143	575	352	55
AT5G64816	16	18	4	25	8	4
AT5G11630	84	92	14	150	69	23
AT5G53430	271	257	120	370	149	38
AT5G59910	1288	1202	269	2000	1053	291
AT5G53910	0	0	0	0	0	0
AT5G56970	16	13	5	35	9	1
AT5G09320	0	0	0	0	0	0
AT5G56100	461	287	91	29	20	2
AT5G65760	454	353	115	557	276	77
AT5G55410	5	4	4	0	0	0
AT5G61300	50	64	22	77	30	6
AT5G53360	108	112	33	113	77	18
AT5G43270	152	110	47	136	64	19
AT5G28210	0	0	0	0	0	0
AT5G18090	1	2	0	3	0	0
AT5G64650	121	126	35	149	87	14
AT5G25300	0	0	0	0	0	0
AT5G46230	130	174	56	255	82	23
AT5G23405	145	148	61	137	78	13
AT5G05680	280	281	80	370	167	36
AT5G24275	0	1	1	5	0	0
AT5G04590	2507	2452	744	9825	4514	1108
AT5G34870	0	0	0	0	0	0
AT5G19080	209	245	63	284	140	19
AT5G40910	654	670	313	1043	528	130
AT5G62350	1333	645	299	1848	1138	238
AT5G18640	636	704	259	750	357	81
AT5G25415	0	0	0	0	0	0
AT5G13850	682	592	193	1053	516	119
AT5G16470	1538	1579	376	1698	802	199
AT5G57140	96	106	47	159	65	9
AT5G66053	0	0	0	0	0	0
AT5G24150	32	6	3	2	1	0
AT5G54680	1036	1215	308	1426	712	186
AT5G44540	2	0	1	0	0	0
AT5G39830	113	79	30	128	51	13
AT5G33898	0	0	0	0	0	0
AT5G50550	7	1	0	6	2	0
AT5G27360	66	28	14	10	14	3
AT5G41390	1	0	0	9	4	0
AT5G56170	452	615	138	763	346	90
AT5G67530	329	389	133	474	205	47
AT5G48655	346	480	117	537	308	81
AT5G23190	480	632	191	1293	748	128
AT5G44005	19	19	4	41	14	7
AT5G46890	1387	1189	335	499	196	16
AT5G45730	24	26	7	36	16	3
AT5G11410	2	1	0	2	2	0
AT5G47740	393	619	237	621	331	67
AT5G14510	30	8	12	19	17	3
AT5G22980	0	0	0	0	0	0
AT5G45140	362	368	137	669	341	85
AT5G54690	244	187	82	191	95	26
AT5G24820	0	0	0	1	0	0
AT5G25260	107	87	41	54	50	7
AT5G24318	56	51	22	100	34	8
AT5G23760	78	77	27	138	76	13
AT5G53240	0	0	0	0	0	1
AT5G06030	0	0	0	0	0	0
AT5G07410	0	0	0	0	0	0
AT5G14570	68	42	11	117	56	8
AT5G62810	506	479	141	777	353	79
AT5G06590	44	40	8	67	24	9
AT5G54220	0	0	0	0	0	0
AT5G60590	146	135	71	257	106	26
AT5G51180	320	263	116	357	160	32
AT5G57800	198	175	63	307	179	66
AT5G07700	0	0	0	0	0	0
AT5G39770	1	0	0	0	0	0
AT5G45290	472	497	168	733	304	59
AT5G16100	0	0	0	0	0	0
AT5G24320	816	755	351	1163	511	113
AT5G40230	104	71	27	110	44	8
AT5G08200	231	300	97	332	171	42
AT5G49540	404	387	151	540	225	73
AT5G61605	0	0	0	0	0	0
AT5G47380	1	0	1	1	0	0
AT5G38960	0	0	0	0	0	0
AT5G48530	86	92	38	116	92	12
AT5G25810	363	693	124	156	71	6
AT5G67270	104	80	42	136	55	24
AT5G11330	240	269	86	319	158	20
AT5G60450	284	304	122	768	492	111
AT5G39610	143	287	71	553	295	85
AT5G37474	0	0	0	0	0	0
AT5G27290	8	9	3	4	1	0
AT5G10420	0	0	0	0	0	0
AT5G40153	0	0	0	0	0	0
AT5G17450	19	17	4	48	27	6
AT5G44574	66	47	12	15	5	2
AT5G15537	31	44	22	52	16	1
AT5G43513	0	0	0	0	0	0
AT5G51790	143	92	48	152	66	11
AT5G64690	22	32	8	34	10	5
AT5G15320	223	277	63	400	178	61
AT5G04500	0	0	0	1	0	0
AT5G64010	88	110	36	103	55	6
AT5G64400	1924	1605	398	4710	1967	550
AT5G10660	0	3	0	2	3	0
AT5G36910	8	2	2	6	0	1
AT5G41430	1	0	0	0	0	0
AT5G64140	371	446	64	572	308	95
AT5G26210	624	535	179	728	362	74
AT5G15060	0	0	0	0	0	0
AT5G60520	117	83	27	15	18	0
AT5G03870	89	69	30	136	54	9
AT5G56700	0	0	0	1	0	0
AT5G64940	187	253	67	185	133	13
AT5G54760	869	1048	284	1586	714	224
AT5G38530	668	761	230	1611	747	190
AT5G48110	911	508	198	221	162	33
AT5G23350	39	62	10	54	27	9
AT5G39650	0	0	0	0	0	0
AT5G63690	9	15	2	17	16	3
AT5G36805	0	0	0	0	0	0
AT5G24155	1	0	0	2	0	0
AT5G37478	77	58	42	53	16	3
AT5G46020	1281	1482	430	1617	827	238
AT5G38600	252	208	81	275	132	26
AT5G36661	0	0	0	0	0	0
AT5G19780	2610	1872	639	2786	1135	256
AT5G04380	0	0	0	1	0	0
AT5G16570	86	66	23	150	54	16
AT5G60615	0	0	0	0	0	0
AT5G51960	64	97	29	87	31	8
AT5G49580	268	320	126	395	175	40
AT5G51910	23	24	5	17	18	2
AT5G48400	95	112	61	681	366	91
AT5G10740	278	309	86	326	186	33
AT5G50860	184	190	78	265	143	34
AT5G52620	0	0	0	0	0	0
AT5G58340	245	196	104	484	220	29
AT5G28420	1	1	0	1	1	1
AT5G36710	0	0	0	0	0	0
AT5G26930	6	14	7	7	0	1
AT5G14800	1709	1289	335	1922	753	129
AT5G64130	2750	2777	717	2571	1052	260
AT5G25400	0	0	0	0	0	0
AT5G09940	0	0	0	0	0	0
AT5G42940	526	470	152	992	590	102
AT5G49690	39	65	19	229	154	23
AT5G37690	467	463	170	1373	647	93
AT5G23470	0	0	0	0	0	0
AT5G26180	270	231	98	394	187	42
AT5G55700	251	233	75	360	181	26
AT5G03120	1	1	0	0	0	1
AT5G39024	0	0	0	0	0	0
AT5G14270	849	935	275	1130	495	147
AT5G08410	119	100	34	155	76	14
AT5G28810	0	0	0	0	0	0
AT5G47229	0	0	0	0	0	0
AT5G14960	18	12	3	42	24	1
AT5G52580	449	461	161	794	365	108
AT5G35090	0	0	0	0	0	0
AT5G56370	27	39	14	43	22	7
AT5G59200	10	11	2	14	7	0
AT5G36657	0	0	0	0	0	0
AT5G11130	0	0	0	0	0	0
AT5G07950	89	91	28	125	45	18
AT5G27540	597	615	210	1060	558	144
AT5G63920	110	78	36	157	67	16
AT5G59580	0	0	0	0	1	0
AT5G56420	101	87	47	143	67	13
AT5G35300	0	0	0	0	0	0
AT5G63700	51	59	27	100	41	9
AT5G53550	785	865	291	979	428	90
AT5G12260	203	179	55	225	105	29
AT5G17900	424	367	172	525	266	65
AT5G41080	1475	1855	464	2366	1692	430
AT5G01240	415	284	123	246	163	25
AT5G53370	451	491	126	335	169	29
AT5G03180	116	93	49	94	34	8
AT5G02040	345	369	121	552	280	54
AT5G39440	0	0	0	0	0	0
AT5G50370	253	246	52	460	219	48
AT5G62780	0	0	2	1	0	0
AT5G44690	1	1	2	0	0	0
AT5G05790	185	187	59	354	163	30
AT5G58290	2325	1866	607	4426	2167	585
AT5G35080	308	338	108	432	224	48
AT5G55720	0	0	0	0	0	0
AT5G53120	425	383	126	1120	496	129
AT5G49210	337	351	93	418	218	57
AT5G05610	347	349	128	476	194	59
AT5G53990	171	193	77	1103	640	144
AT5G42210	61	64	28	89	48	9
AT5G45320	13	5	4	9	5	1
AT5G17670	78	48	26	42	28	7
AT5G52910	60	49	25	92	42	10
AT5G50380	904	813	402	1561	718	140
AT5G50423	0	0	0	0	0	0
AT5G06240	84	56	19	98	50	8
AT5G17320	0	0	0	0	0	0
AT5G52130	0	0	0	0	0	0
AT5G64390	482	461	199	551	297	37
AT5G26100	0	0	0	0	0	0
AT5G43401	0	0	0	0	0	0
AT5G60160	674	643	191	1120	521	156
AT5G67300	716	757	178	1321	640	150
AT5G51430	743	697	228	1210	529	126
AT5G44560	99	77	40	134	52	11
AT5G05630	39	25	16	30	11	1
AT5G41840	0	0	0	0	0	0
AT5G35890	0	0	0	0	0	0
AT5G04238	0	0	0	0	0	0
AT5G36130	11	4	1	49	23	1
AT5G35330	253	290	77	311	154	40
AT5G37970	0	0	0	0	0	0
AT5G64230	62	64	17	207	102	17
AT5G12150	745	793	276	1081	494	117
AT5G12090	0	0	0	0	0	0
AT5G62840	5	4	0	7	2	2
AT5G15120	31	63	13	479	113	42
AT5G57100	182	209	70	243	119	27
AT5G20070	410	435	143	510	297	51
AT5G20390	0	0	0	0	0	0
AT5G25210	107	112	33	76	37	11
AT5G66590	104	50	19	50	20	12
AT5G27130	1	0	0	1	1	0
AT5G54280	801	773	310	584	350	52
AT5G34883	0	0	0	0	0	0
AT5G66960	44	48	11	91	33	5
AT5G48540	321	242	92	270	282	41
AT5G54270	1424	325	156	247	201	33
AT5G06970	957	860	322	1134	595	109
AT5G57260	13	2	1	2	0	0
AT5G22410	275	351	92	389	115	16
AT5G56470	0	0	0	0	0	0
AT5G41660	0	0	0	0	0	0
AT5G35590	975	875	291	1534	688	187
AT5G19120	2319	1887	761	967	477	60
AT5G55850	656	1162	248	1327	609	168
AT5G36080	0	0	0	0	0	0
AT5G06360	707	603	190	1118	605	148
AT5G01790	18	17	3	66	34	2
AT5G16000	411	455	157	457	188	52
AT5G08360	15	17	8	108	54	17
AT5G27520	265	341	95	673	289	73
AT5G25590	175	111	57	163	73	14
AT5G25160	217	182	84	290	135	27
AT5G19790	128	138	39	138	47	5
AT5G13680	451	413	157	828	388	98
AT5G46390	86	75	36	68	39	6
AT5G27350	1862	1901	717	2545	1143	272
AT5G47360	36	29	10	58	23	2
AT5G65070	37	28	15	72	25	13
AT5G17650	158	122	31	790	396	103
AT5G45710	273	339	120	362	174	50
AT5G28900	413	442	151	455	241	55
AT5G11990	24	14	12	30	12	2
AT5G09830	134	161	55	207	91	19
AT5G15810	549	502	156	735	341	82
AT5G67630	306	265	86	526	239	60
AT5G64360	257	246	78	303	131	26
AT5G23710	0	0	0	0	0	0
AT5G60300	569	407	145	693	298	68
AT5G54200	285	238	82	268	117	30
AT5G41580	174	157	65	266	118	20
AT5G38840	295	376	148	471	249	48
AT5G25240	26	20	8	7	2	1
AT5G11930	5	4	1	21	14	1
AT5G64370	1227	1174	405	2237	978	204
AT5G52700	0	0	0	11	6	1
AT5G17850	152	127	35	425	171	62
AT5G13920	16	18	2	32	11	2
AT5G22160	0	0	0	0	0	0
AT5G50360	0	0	1	1	0	1
AT5G45030	0	0	0	0	0	0
AT5G63590	309	416	134	720	298	46
AT5G59030	81	30	13	72	40	8
AT5G17700	9	8	14	88	33	10
AT5G64950	43	48	13	96	35	8
AT5G18360	148	200	50	177	97	14
AT5G58900	448	555	149	416	211	50
AT5G64510	81	199	47	534	352	80
AT5G66910	448	513	176	521	253	58
AT5G54950	0	1	1	3	2	0
AT5G19480	202	252	90	323	144	37
AT5G54920	149	136	48	250	109	14
AT5G57510	15	19	9	190	100	33
AT5G53340	211	239	63	333	164	42
AT5G58220	497	507	130	552	235	65
AT5G46650	55	50	23	49	31	2
AT5G15430	0	0	0	0	0	0
AT5G07650	241	264	96	288	104	15
AT5G23910	89	77	28	104	41	23
AT5G67200	61	59	19	131	61	16
AT5G41690	54	79	16	67	33	4
AT5G42450	10	18	1	36	11	5
AT5G17270	224	251	85	390	209	47
AT5G47350	2	1	2	3	0	0
AT5G55135	0	0	0	0	0	0
AT5G53740	5	1	0	0	3	0
AT5G45010	213	239	66	353	166	44
AT5G63420	180	157	67	197	95	23
AT5G59100	2	1	0	1	1	0
AT5G63310	180	136	39	215	69	20
AT5G18140	112	87	30	85	45	8
AT5G57960	89	98	27	114	53	21
AT5G10800	49	54	24	57	35	2
AT5G44567	5	3	2	40	24	3
AT5G08055	0	0	0	0	0	0
AT5G37870	0	0	0	0	0	0
AT5G18800	561	441	138	809	416	105
AT5G28235	0	0	0	0	0	0
AT5G50665	0	0	0	1	0	0
AT5G43310	300	331	124	530	237	39
AT5G07670	141	103	44	141	67	17
AT5G57940	751	667	252	730	355	59
AT5G07490	0	0	0	0	0	0
AT5G40980	0	0	0	0	0	0
AT5G38620	0	1	0	0	0	0
AT5G15790	163	171	67	230	100	30
AT5G60970	0	0	0	0	0	0
AT5G32470	193	252	65	345	179	51
AT5G43890	49	36	12	57	27	6
AT5G26955	0	0	0	0	0	0
AT5G02870	3119	2351	553	4894	2378	555
AT5G47750	493	391	104	591	336	54
AT5G50760	894	1459	472	2386	1186	282
AT5G13630	776	669	183	428	274	26
AT5G44090	780	968	343	1347	742	173
AT5G46740	132	140	42	174	93	24
AT5G58910	82	91	20	75	40	2
AT5G42690	182	191	89	239	101	20
AT5G33210	0	0	0	0	0	0
AT5G27170	0	0	0	0	0	0
AT5G67520	112	110	39	58	13	8
AT5G13120	502	467	163	762	347	104
AT5G09370	0	0	0	2	0	1
AT5G49010	44	31	10	48	24	4
AT5G04150	21	35	15	2	2	1
AT5G18310	1520	1634	543	2672	1392	256
AT5G36228	0	0	0	1	0	0
AT5G06690	102	86	45	27	12	1
AT5G15230	2162	1423	399	1092	451	153
AT5G22180	0	0	0	0	0	0
AT5G61600	1137	1257	415	1130	706	123
AT5G19660	441	417	161	481	217	50
AT5G60050	51	45	19	63	33	10
AT5G49940	386	398	128	593	280	77
AT5G38030	696	814	248	2086	975	128
AT5G16410	44	19	9	50	14	3
AT5G64660	153	190	47	626	347	73
AT5G36380	0	0	0	0	0	0
AT5G47600	30	14	7	14	11	2
AT5G50330	105	110	41	177	66	18
AT5G42710	45	48	24	38	29	4
AT5G28660	0	0	0	0	0	0
AT5G55870	0	0	0	0	0	0
AT5G63580	5	3	3	22	7	7
AT5G41761	1	0	0	1	0	0
AT5G05598	0	0	0	0	0	0
AT5G63980	394	353	119	1368	631	162
AT5G08600	90	83	20	166	63	15
AT5G33390	1	1	0	2	1	0
AT5G56940	276	204	61	367	199	59
AT5G24440	0	0	0	0	0	0
AT5G67480	245	333	77	389	156	40
AT5G57890	54	62	18	111	49	17
AT5G51120	339	278	97	578	267	54
AT5G12890	143	155	59	456	224	53
AT5G66595	3	23	2	4	1	1
AT5G06640	410	605	113	901	233	11
AT5G63890	537	413	135	666	335	84
AT5G61400	24	29	9	46	14	5
AT5G62630	849	671	291	1968	1353	234
AT5G50890	55	53	25	86	46	13
AT5G17170	48	89	25	65	34	3
AT5G37670	11	18	5	76	68	21
AT5G22440	847	802	170	1140	575	198
AT5G65050	423	456	163	476	281	59
AT5G04080	157	245	57	490	246	66
AT5G17370	46	54	24	133	58	16
AT5G27220	6	6	1	18	3	1
AT5G44990	7	11	2	99	71	24
AT5G07440	11694	9876	3302	15593	10858	2278
AT5G53970	168	205	41	303	207	44
AT5G01895	0	0	0	0	0	0
AT5G62430	16	31	9	40	44	9
AT5G28530	85	95	41	162	91	20
AT5G11560	2605	2382	835	3567	1491	382
AT5G03930	0	0	0	0	0	0
AT5G54490	78	110	22	358	347	89
AT5G03355	113	94	29	116	40	9
AT5G58370	206	161	77	202	115	33
AT5G48410	155	207	73	541	245	60
AT5G40900	1	6	0	2	3	2
AT5G65480	908	1076	389	952	420	92
AT5G58000	455	419	133	548	230	47
AT5G24430	484	496	156	809	375	75
AT5G60430	135	176	52	161	98	17
AT5G27880	0	0	0	0	0	0
AT5G58040	975	813	357	1392	612	87
AT5G02070	1	0	0	0	0	0
AT5G03555	324	441	105	346	153	22
AT5G27889	0	0	0	0	0	0
AT5G66110	3	0	0	1	0	1
AT5G26160	120	156	60	236	113	22
AT5G06980	143	51	30	14	26	1
AT5G06810	65	67	14	101	50	6
AT5G55260	177	204	73	279	105	27
AT5G17040	5	17	2	40	8	0
AT5G54570	4	5	2	6	5	1
AT5G22850	683	702	245	910	446	102
AT5G04520	138	153	28	156	74	15
AT5G62470	12	15	3	34	21	3
AT5G22505	0	0	0	0	0	0
AT5G51465	0	2	1	124	88	20
AT5G65685	196	205	78	295	124	35
AT5G25640	81	90	32	207	95	23
AT5G09780	0	0	0	0	0	0
AT5G62400	0	0	0	0	0	0
AT5G54410	0	0	0	0	0	0
AT5G53760	304	276	106	777	427	102
AT5G03795	27	14	8	25	13	1
AT5G47860	251	268	82	455	230	50
AT5G28620	0	0	0	0	0	0
AT5G42570	461	541	147	952	421	110
AT5G45960	2	1	3	3	0	1
AT5G23260	0	0	0	0	0	0
AT5G61120	0	0	0	0	0	0
AT5G38540	66	66	43	273	106	27
AT5G57210	218	238	90	245	117	29
AT5G25756	3	8	0	0	6	0
AT5G43730	224	355	141	370	195	28
AT5G56090	230	329	79	924	510	141
AT5G28390	87	89	33	114	53	6
AT5G14560	0	0	0	0	0	0
AT5G61200	30	23	9	35	11	5
AT5G46910	309	310	131	476	302	66
AT5G07960	315	327	70	390	168	34
AT5G47160	5	15	7	8	6	2
AT5G59810	0	0	0	1	0	0
AT5G35195	0	0	0	0	0	0
AT5G01490	186	150	55	277	137	27
AT5G54450	0	0	0	0	1	0
AT5G06043	0	0	0	0	0	0
AT5G06520	0	0	0	0	0	0
AT5G23890	1011	1049	332	1505	747	143
AT5G65630	901	1236	334	1592	760	185
AT5G26890	0	0	0	0	0	0
AT5G65810	286	234	69	253	123	31
AT5G36730	0	0	0	0	0	0
AT5G59980	97	98	31	147	87	24
AT5G67180	9	4	1	23	17	3
AT5G59680	1154	1137	446	291	165	25
AT5G53640	0	0	0	0	0	0
AT5G05560	241	240	99	508	210	67
AT5G60480	0	1	1	2	1	0
AT5G64210	0	0	0	6	2	2
AT5G45420	357	344	98	526	230	51
AT5G27850	3203	2934	678	4412	2153	673
AT5G10210	53	49	13	587	364	73
AT5G12380	1	5	2	3	2	1
AT5G14660	39	44	13	58	28	10
AT5G58690	98	111	65	287	131	20
AT5G09430	9	15	6	7	5	0
AT5G43790	47	68	21	108	56	17
AT5G20520	1020	1063	315	944	498	113
AT5G57830	321	378	127	272	123	26
AT5G35760	3	4	2	14	2	2
AT5G18370	317	359	128	497	218	47
AT5G57300	236	188	66	385	167	44
AT5G10610	209	228	79	318	140	25
AT5G01990	352	359	134	514	231	48
AT5G41980	38	26	8	35	21	2
AT5G45340	161	144	39	128	91	20
AT5G59600	0	0	0	0	0	0
AT5G17870	225	151	46	174	86	25
AT5G12300	44	41	21	84	49	10
AT5G08280	555	554	179	569	273	52
AT5G53580	161	231	74	107	48	10
AT5G27570	1	0	0	0	0	0
AT5G62410	281	294	114	426	198	67
AT5G36700	0	0	0	0	0	0
AT5G10080	53	48	16	61	27	15
AT5G04940	166	173	78	324	150	35
AT5G61270	20	13	5	19	10	1
AT5G49660	509	453	163	881	475	113
AT5G35510	0	0	0	0	0	0
AT5G54780	311	426	145	396	182	44
AT5G67420	1715	1445	409	1711	1141	198
AT5G58660	70	85	15	62	27	8
AT5G67140	34	30	10	87	46	11
AT5G55240	1	0	0	0	0	0
AT5G65620	1108	1002	346	1837	856	178
AT5G38920	0	0	0	0	0	0
AT5G09570	1	0	0	17	22	1
AT5G46780	512	433	170	563	343	70
AT5G61320	0	0	0	0	0	0
AT5G09270	53	74	21	107	40	25
AT5G52820	560	526	160	700	315	90
AT5G56120	86	80	25	114	52	19
AT5G22550	89	110	35	294	165	35
AT5G57990	976	1053	314	1898	979	212
AT5G11940	0	0	0	0	0	0
AT5G64270	2092	1766	677	2586	1279	295
AT5G64640	43	42	12	75	40	6
AT5G54590	125	156	45	194	99	22
AT5G42480	171	132	48	230	115	25
AT5G48680	182	236	72	277	129	47
AT5G56810	1	2	0	1	0	0
AT5G04350	0	0	0	0	0	0
AT5G11240	262	296	99	517	281	81
AT5G06430	39	51	13	71	45	6
AT5G44572	22	21	7	18	4	4
AT5G39930	2	0	1	0	0	1
AT5G37340	77	102	29	199	131	33
AT5G23690	111	151	52	208	85	18
AT5G08100	385	227	84	328	171	29
AT5G13550	668	730	270	1847	726	127
AT5G10230	151	152	53	535	261	33
AT5G52250	84	112	35	57	17	3
AT5G57740	380	401	134	466	186	25
AT5G13620	0	0	0	0	0	0
AT5G44980	31	31	5	70	26	21
AT5G63850	525	276	123	2190	1372	306
AT5G09920	361	421	109	628	332	71
AT5G58980	128	137	51	280	156	21
AT5G58650	37	42	6	22	18	3
AT5G44140	0	0	0	0	0	0
AT5G49490	0	0	0	0	0	0
AT5G16680	842	969	366	1531	746	149
AT5G13820	226	235	69	624	313	67
AT5G02930	0	0	0	0	0	0
AT5G01050	200	173	53	161	57	11
AT5G65495	77	86	14	103	48	9
AT5G52970	35	28	8	22	6	1
AT5G51890	465	311	99	673	350	55
AT5G58210	133	139	48	263	161	47
AT5G17840	101	119	24	172	91	20
AT5G14220	378	364	133	580	312	65
AT5G47980	218	286	63	534	144	7
AT5G16710	194	272	51	196	109	41
AT5G51340	622	508	173	791	381	70
AT5G67640	33	46	13	72	42	11
AT5G56770	0	0	1	0	0	0
AT5G41460	10	23	5	61	23	2
AT5G48290	416	444	180	445	138	31
AT5G35698	0	0	0	0	0	0
AT5G43870	16	10	3	68	30	7
AT5G66160	508	417	152	569	263	46
AT5G63570	627	693	191	714	388	80
AT5G28288	0	0	0	0	0	0
AT5G06330	413	368	146	936	365	68
AT5G05670	235	234	72	297	135	32
AT5G10070	130	147	46	269	117	33
AT5G01660	19	19	8	47	21	9
AT5G41320	1	1	0	3	0	0
AT5G58350	1395	1416	492	3980	1772	403
AT5G14160	0	1	0	1	1	2
AT5G14090	62	63	15	38	27	4
AT5G15840	7	9	4	8	1	0
AT5G35540	0	0	0	0	0	0
AT5G65430	2655	2738	701	2498	1051	193
AT5G14080	171	157	51	167	84	15
AT5G39000	83	101	37	53	36	2
AT5G13080	227	305	108	918	667	167
AT5G57420	6	2	0	4	2	3
AT5G05620	160	141	40	241	91	27
AT5G34828	0	0	0	0	0	0
AT5G42400	447	480	201	585	259	49
AT5G28180	0	0	0	0	0	0
AT5G12960	5	3	0	6	5	1
AT5G58950	1844	2019	789	2015	936	228
AT5G42300	1072	1210	421	2955	1311	276
AT5G60320	0	1	0	0	1	0
AT5G41900	0	1	0	3	2	1
AT5G22500	133	94	68	1978	784	205
AT5G44150	116	95	27	134	69	12
AT5G56910	84	90	25	165	70	24
AT5G57580	903	784	325	1289	633	148
AT5G39150	0	0	0	1	1	1
AT5G19670	111	101	41	103	44	16
AT5G25890	684	1460	351	1352	499	100
AT5G37940	0	0	0	1	0	0
AT5G05350	8	8	4	31	14	2
AT5G62250	1	0	1	3	2	0
AT5G14480	51	91	11	96	42	12
AT5G14780	442	376	101	1842	1178	265
AT5G14600	92	93	18	161	91	17
AT5G58800	348	466	114	477	217	60
AT5G52480	0	0	0	0	0	0
AT5G14285	160	115	27	216	139	17
AT5G61650	46	125	16	96	53	9
AT5G56452	0	0	0	0	0	0
AT5G17560	198	230	53	295	162	46
AT5G60870	79	53	18	99	50	4
AT5G05290	7	3	1	1	1	0
AT5G55440	0	0	0	0	0	0
AT5G45040	22	24	6	7	10	2
AT5G45500	1464	1483	509	1934	746	182
